,power_mean_01h_05h,power_variance_01h_05h,power_skewness_01h_05h,power_kurtosis_01h_05h,power_difference_mean_01h_05h,power_difference_variance_01h_05h,abs_power_difference_mean_01h_05h,onoff_number_01h_05h,active_appliance_power_mean_01h_05h,active_appliance_power_variance_01h_05h,circuit_active_time_percentage_01h_05h,power_range_0_5_percentage_01h_05h,power_range_5_50_percentage_01h_05h,power_range_50_100_percentage_01h_05h,power_range_100_250_percentage_01h_05h,power_range_250_500_percentage_01h_05h,power_range_500_1000_percentage_01h_05h,power_larger_1000_percentage_01h_05h,power_mean_04h_08h,power_variance_04h_08h,power_skewness_04h_08h,power_kurtosis_04h_08h,power_difference_mean_04h_08h,power_difference_variance_04h_08h,abs_power_difference_mean_04h_08h,onoff_number_04h_08h,active_appliance_power_mean_04h_08h,active_appliance_power_variance_04h_08h,circuit_active_time_percentage_04h_08h,power_range_0_5_percentage_04h_08h,power_range_5_50_percentage_04h_08h,power_range_50_100_percentage_04h_08h,power_range_100_250_percentage_04h_08h,power_range_250_500_percentage_04h_08h,power_range_500_1000_percentage_04h_08h,power_larger_1000_percentage_04h_08h,power_mean_06h_11h,power_variance_06h_11h,power_skewness_06h_11h,power_kurtosis_06h_11h,power_difference_mean_06h_11h,power_difference_variance_06h_11h,abs_power_difference_mean_06h_11h,onoff_number_06h_11h,active_appliance_power_mean_06h_11h,active_appliance_power_variance_06h_11h,circuit_active_time_percentage_06h_11h,power_range_0_5_percentage_06h_11h,power_range_5_50_percentage_06h_11h,power_range_50_100_percentage_06h_11h,power_range_100_250_percentage_06h_11h,power_range_250_500_percentage_06h_11h,power_range_500_1000_percentage_06h_11h,power_larger_1000_percentage_06h_11h,power_mean_10h_14h,power_variance_10h_14h,power_skewness_10h_14h,power_kurtosis_10h_14h,power_difference_mean_10h_14h,power_difference_variance_10h_14h,abs_power_difference_mean_10h_14h,onoff_number_10h_14h,active_appliance_power_mean_10h_14h,active_appliance_power_variance_10h_14h,circuit_active_time_percentage_10h_14h,power_range_0_5_percentage_10h_14h,power_range_5_50_percentage_10h_14h,power_range_50_100_percentage_10h_14h,power_range_100_250_percentage_10h_14h,power_range_250_500_percentage_10h_14h,power_range_500_1000_percentage_10h_14h,power_larger_1000_percentage_10h_14h,power_mean_13h_17h,power_variance_13h_17h,power_skewness_13h_17h,power_kurtosis_13h_17h,power_difference_mean_13h_17h,power_difference_variance_13h_17h,abs_power_difference_mean_13h_17h,onoff_number_13h_17h,active_appliance_power_mean_13h_17h,active_appliance_power_variance_13h_17h,circuit_active_time_percentage_13h_17h,power_range_0_5_percentage_13h_17h,power_range_5_50_percentage_13h_17h,power_range_50_100_percentage_13h_17h,power_range_100_250_percentage_13h_17h,power_range_250_500_percentage_13h_17h,power_range_500_1000_percentage_13h_17h,power_larger_1000_percentage_13h_17h,power_mean_16h_20h,power_variance_16h_20h,power_skewness_16h_20h,power_kurtosis_16h_20h,power_difference_mean_16h_20h,power_difference_variance_16h_20h,abs_power_difference_mean_16h_20h,onoff_number_16h_20h,active_appliance_power_mean_16h_20h,active_appliance_power_variance_16h_20h,circuit_active_time_percentage_16h_20h,power_range_0_5_percentage_16h_20h,power_range_5_50_percentage_16h_20h,power_range_50_100_percentage_16h_20h,power_range_100_250_percentage_16h_20h,power_range_250_500_percentage_16h_20h,power_range_500_1000_percentage_16h_20h,power_larger_1000_percentage_16h_20h,power_mean_19h_00h,power_variance_19h_00h,power_skewness_19h_00h,power_kurtosis_19h_00h,power_difference_mean_19h_00h,power_difference_variance_19h_00h,abs_power_difference_mean_19h_00h,onoff_number_19h_00h,active_appliance_power_mean_19h_00h,active_appliance_power_variance_19h_00h,circuit_active_time_percentage_19h_00h,power_range_0_5_percentage_19h_00h,power_range_5_50_percentage_19h_00h,power_range_50_100_percentage_19h_00h,power_range_100_250_percentage_19h_00h,power_range_250_500_percentage_19h_00h,power_range_500_1000_percentage_19h_00h,power_larger_1000_percentage_19h_00h,QC_01h_05h,QC_04h_08h,QC_06h_11h,QC_10h_14h,QC_13h_17h,QC_16h_20h,QC_19h_00h,data_qualaity_event_average,loss_counter_event,power_mean_daily,power_variance_daily,power_skewness_daily,power_kurtosis_daily,power_difference_mean_daily,power_difference_variance_daily,abs_power_difference_mean_daily,onoff_number_daily,active_appliance_power_mean_daily,active_appliance_power_variance_daily,circuit_active_time_percentage_daily,power_range_0_5_percentage_daily,power_range_5_50_percentage_daily,power_range_50_100_percentage_daily,power_range_100_250_percentage_daily,power_range_250_500_percentage_daily,power_range_500_1000_percentage_daily,power_larger_1000_percentage_daily,time_range,sensor_id,sensor_ch,function_label
0,180.2670723,94782.93155,6.283102849,41.74982448,0.001181379,9058.786577,8.34092481,2,195.093882,102922.6362,0.901388889,0,0.098611111,0.020138889,0.849305556,0.001388889,0.000694444,0.029861111,104.2123071,1389.148655,-0.859353648,-0.987748682,-0.05628909,58.68412894,1.021595631,5,126.5249039,92.58106379,0.726388889,0,0.272916667,0.022916667,0.704166667,0,0,0,100.8196242,1502.866729,-0.712614695,-1.410742423,0.045430002,71.59972185,1.088027525,7,127.3824473,32.90594828,0.677222222,0,0.322222222,0.003333333,0.674444444,0,0,0,118.373836,2559.415937,-0.139261584,-0.746890742,0.061183359,94.87104709,1.364589222,5,144.6909871,872.590145,0.734722222,0,0.264583333,0.020138889,0.715277778,0,0,0,126.95232,2125.976994,-0.53487516,-0.412380462,-0.057096945,73.91731619,1.231018248,3,144.6981724,814.132486,0.822222222,0,0.177777778,0.057638889,0.764583333,0,0,0,213.7411182,106827.3621,6.459386491,54.37497282,-0.025851283,7443.356687,6.200009848,1,233.7111221,115656.0957,0.894444444,0,0.105555556,0.109722222,0.688194444,0.004861111,0.084722222,0.006944444,139.6223915,1639.5071,-0.737526511,-0.821113558,-0.022394386,50.48234665,0.968873453,0,143.7368702,1298.004703,0.958888889,0,0.041111111,0.248888889,0.71,0,0,0,1,1,1,1,1,1,1,1,0,144.7604747,36420.19112,10.56526212,141.3650896,0.004724216,2794.437037,3.157653593,19,165.7567742,41563.48863,0.825925926,0,0.173842593,0.078356481,0.726388889,0.001041667,0.014236111,0.006134259,2018-05-19_to_2018-05-20,4177,4,Kitchen
1,239.0171139,119231.6343,5.141999341,32.07285127,0.032213732,6754.402443,5.968515792,0,239.0171139,119231.6343,1,0,0,0.311111111,0.586805556,0.001388889,0.088194444,0.0125,256.901616,146748.7942,5.790053213,34.05553274,0.225496096,16824.63679,18.78723671,0,256.901616,146748.7942,1,0,0,0.145138889,0.702083333,0.11875,0.004861111,0.029166667,184.4647693,16551.99191,6.357459896,57.46001398,-0.048804893,3923.129614,9.625163643,0,184.4647693,16551.99191,1,0,0,0.173333333,0.715555556,0.101111111,0.003333333,0.006666667,137.5452324,1621.81131,-0.596204955,-1.513893303,-0.00885646,60.76663599,1.204166299,0,137.5452324,1621.81131,1,0,0,0.347222222,0.652777778,0,0,0,142.3801892,61487.83542,10.05534184,102.6234813,0.070465602,6538.234535,4.906023662,1,157.9605572,69987.21278,0.857638889,0,0.082638889,0.275694444,0.632638889,0,0,0.009027778,249.2359947,130784.6868,4.685875102,25.97588067,0.036414172,13951.94548,15.26237791,1,276.6080056,141944.81,0.881944444,0,0.118055556,0.122222222,0.647222222,0.006944444,0.086805556,0.01875,169.1856795,32120.8529,12.48400403,161.9675243,-0.061978873,3735.244703,3.403591665,1,172.2800707,32533.98741,0.975555556,0,0.024444444,0.089444444,0.88,0,0,0.006111111,1,1,1,1,1,1,1,1,0,195.3607285,72460.39967,7.258640585,60.94553562,-0.000393564,7115.414509,7.791433898,4,201.3465172,74458.70657,0.961226852,0,0.028819444,0.210185185,0.697800926,0.022453704,0.029976852,0.010763889,2018-05-20_to_2018-05-21,4177,4,Kitchen
2,298.3545754,280795.4413,4.048561082,18.60861605,-0.081845035,27104.51999,23.41546735,0,307.7583012,286751.6527,0.969444444,0.030555556,0.020138889,0.217361111,0.608333333,0.003472222,0.053472222,0.066666667,181.4167743,70354.1894,5.513606471,35.07649171,0.08915914,3727.937551,5.899842016,0,183.8424736,70848.93925,0.986805556,0.013194444,0.175,0.000694444,0.747222222,0.000694444,0.05,0.013194444,103.8361982,1492.792266,-0.792350256,-1.293995763,-0.003779875,68.20267082,0.992252983,0,103.8361982,1492.792266,1,0,0.307777778,0.001666667,0.690555556,0,0,0,112.1711431,1776.864635,-0.336494145,-0.778458768,0.042577929,64.7498576,1.115128717,0,112.1711431,1776.864635,1,0,0.238194444,0.120833333,0.640972222,0,0,0,177.1535356,95705.98879,8.030535581,63.88990196,0.022307151,5886.024227,4.840033476,0,177.1535356,95705.98879,1,0,0,0.354861111,0.629861111,0,0.001388889,0.013888889,195.0846976,143305.7269,6.234110384,38.12133165,-0.022011816,14727.5641,14.00231839,0,195.0846976,143305.7269,1,0,0.0625,0.167361111,0.739583333,0.002083333,0.004861111,0.023611111,150.0527164,36799.16682,12.52432979,163.3981244,-0.006732904,5440.043896,4.489951791,0,150.0527164,36799.16682,1,0,0.016111111,0.216666667,0.761111111,0.000555556,0,0.005555556,1,1,1,1,1,1,1,1,0,166.8912815,83391.49035,8.116651911,73.87716804,0.008231566,8130.379644,7.644761533,0,167.7455412,83675.04477,0.994907407,0.005092593,0.10775463,0.169097222,0.691087963,0.001041667,0.009722222,0.016203704,2018-05-21_to_2018-05-22,4177,4,Kitchen
3,136.3686327,55916.59856,5.247319066,26.53453378,-0.104169565,8819.786768,8.832033907,0,137.7693551,56316.84009,0.989583333,0.010416667,0.31875,0.093055556,0.546527778,0.000694444,0.000694444,0.029861111,104.1057975,58838.62816,5.225118511,26.36913093,-0.029473591,8815.912212,8.757682592,4,146.9525249,77643.27159,0.702083333,0.297222222,0.052083333,0.511805556,0.107638889,0.000694444,0.000694444,0.029861111,54.6713438,1566.836105,-0.539197748,-1.674143915,-0.045080601,44.42973817,0.972428392,7,84.38866802,29.53743131,0.636666667,0.362777778,0.004444444,0.622222222,0.010555556,0,0,0,87.85666956,44463.55732,10.87212025,123.2160384,0.029325919,5018.001924,4.623868957,4,113.6137088,55152.64761,0.766666667,0.233333333,0.124305556,0.422916667,0.211805556,0,0,0.007638889,97.48892593,1623.127559,-0.478533974,-1.72950855,0.057678943,60.5009595,1.105861904,0,97.48892593,1623.127559,1,0,0.376388889,0.003472222,0.620138889,0,0,0,248.5246151,188004.2454,5.265237349,32.18420115,0.037743223,25246.09488,25.07818942,0,248.5246151,188004.2454,1,0,0.179861111,0.053472222,0.654166667,0.004861111,0.084027778,0.023611111,149.6243241,45518.29175,10.74943066,121.096363,-0.025347414,3707.236047,4.00840226,0,149.6243241,45518.29175,1,0,0.176666667,0.018888889,0.795555556,0.001111111,0,0.007777778,1,1,1,1,1,1,1,1,0,131.2755969,70475.5028,8.206609241,78.55657391,-0.013232351,8119.215315,8.243817181,12,148.6638126,77477.85812,0.880787037,0.118981481,0.171643519,0.231018519,0.449768519,0.001157407,0.01412037,0.013310185,2018-05-22_to_2018-05-23,4177,4,Kitchen
4,214.9152763,41607.58001,2.714753707,5.874809462,0.031951199,555.4876078,2.172171207,0,214.9152763,41607.58001,1,0,0,0.238194444,0.672916667,0,0.088888889,0,161.2290688,1746.122679,-0.844383397,-0.672750572,0.05628909,48.9659831,0.942655045,0,161.2290688,1746.122679,1,0,0,0.236805556,0.763194444,0,0,0,159.00545,1608.658434,-0.895734289,-0.574046395,-0.022331855,67.25157245,1.023369246,0,159.00545,1608.658434,1,0,0,0.233888889,0.766111111,0,0,0,142.9582916,1578.262137,-0.549591326,-1.624708541,-0.006428075,71.07722918,1.123951249,0,142.9582916,1578.262137,1,0,0,0.358333333,0.641666667,0,0,0,140.5167219,1584.416838,-0.490685417,-1.667529917,-0.00069493,81.40202825,1.200199894,0,140.5167219,1584.416838,1,0,0,0.370833333,0.629166667,0,0,0,140.8510656,1570.173953,-0.533182513,-1.662519431,-0.002293261,54.5822128,1.091017586,0,140.8510656,1570.173953,1,0,0,0.363194444,0.636805556,0,0,0,188.0570051,28796.8145,3.01041318,7.963405314,0.048859211,399.6283462,2.026440291,0,188.0570051,28796.8145,1,0,0,0.273637375,0.65461624,0.000556174,0.071190211,0,1,1,1,1,1,1,1,1,0,165.6563545,14840.56982,4.562168357,22.49190218,0.015248351,219.5875197,1.470853119,1,167.4441548,14837.60794,0.985529058,0,0.014470942,0.279231304,0.676545497,0.000115768,0.02963649,0,2018-05-23_to_2018-05-24,4177,4,Kitchen
5,112.4914153,1981.784598,-0.59391951,-1.085868083,0.06101459,88.56962119,1.15168091,0,112.4914153,1981.784598,1,0,0.283333333,0.004861111,0.711805556,0,0,0,115.2423791,1547.530909,-0.936010276,-0.473102759,-0.02466991,99.2251719,1.13055129,0,115.2423791,1547.530909,1,0,0.186111111,0.050694444,0.763194444,0,0,0,79.97273018,2178.327781,-0.37964455,-1.002326087,-0.069686865,87.54728842,1.241172047,3,96.64754413,1071.544894,0.823333333,0.176666667,0.093333333,0.383888889,0.346111111,0,0,0,56.76432758,1575.215134,-0.587652148,-1.574862514,-0.001181379,68.46782344,1.091518453,5,85.61846364,37.09276071,0.650694444,0.349305556,0.003472222,0.632638889,0.014583333,0,0,0,59.02301897,1529.694242,-0.708034527,-1.450774166,-0.007018762,56.11627285,1.031178128,5,86.09531242,25.26951889,0.673611111,0.326388889,0.002083333,0.656944444,0.014583333,0,0,0,54.90738078,1689.140515,-0.548335275,-1.647020095,-0.001719944,66.01005621,1.05620402,6,85.50525138,34.91521968,0.640277778,0.359722222,0.003472222,0.622222222,0.014583333,0,0,0,143.5371967,32718.0886,2.700725555,6.295764696,0.037484589,411.5943403,1.957820196,2,161.5540016,33914.17979,0.888478127,0.111521873,0.182994455,0.2008626,0.424522489,0.000616143,0.07948244,0,1,1,1,1,1,1,1,1,0,91.82925262,8790.157776,4.816191093,31.38019295,0.006984164,140.1750589,1.285395893,18,111.1636079,8571.270086,0.822876049,0.177123951,0.128795935,0.340186695,0.338532435,0.000118161,0.015242822,0,2018-05-26_to_2018-05-27,4177,4,Kitchen
6,149.0321951,1545.674044,-0.519390239,0.888420718,2.96E-17,196.0660803,1.488708463,0,149.0321951,1545.674044,1,0,0,0.295138889,0.704166667,0.000694444,0,0,166.7422924,52066.72679,10.4990682,112.7663054,-0.001181374,16399.21575,9.178019664,0,166.7422924,52066.72679,1,0,0,0.336111111,0.654166667,0.000694444,0.000694444,0.008333333,141.0397822,1649.566534,-0.440372975,-1.714262075,0.001364953,82.54331705,1.187405903,0,141.0397822,1649.566534,1,0,0,0.381666667,0.618333333,0,0,0,141.3551584,1665.387857,-0.351157586,-1.717584105,-0.055993746,92.24534398,1.254795949,0,141.3551584,1665.387857,1,0,0,0.398611111,0.600694444,0.000694444,0,0,144.8504636,1609.832597,-0.448798166,-1.534892195,-0.05753996,105.919852,1.337389454,0,144.8504636,1609.832597,1,0,0,0.370138889,0.628472222,0.001388889,0,0,121.9702435,2228.159226,0.35127342,5.234277756,-0.032870045,357.781492,1.723998057,2,137.9777424,1220.235215,0.826388889,0,0.173611111,0.180555556,0.644444444,0.000694444,0.000694444,0,96.42849542,1585.123551,-0.45731881,-1.755990206,0.00097383,42.58953733,0.942988542,7,127.4928576,31.7840988,0.618613139,0,0.381386861,0.005474453,0.613138686,0,0,0,1,1,1,1,1,1,1,1,0,137.4777477,10757.59371,19.62306347,479.2127631,-0.011352116,2884.857762,2.563242201,8,146.372137,10911.28233,0.911362565,0,0.088637435,0.26544083,0.643917963,0.000353607,0.000235738,0.001414427,2018-05-27_to_2018-05-28,4177,4,Kitchen
7,101.2643702,1808.194455,-0.343252347,-1.517687986,0.030507292,71.14618482,1.146558691,6,132.8342934,161.5843386,0.63125,0,0.367361111,0.00625,0.626388889,0,0,0,117.4801545,1821.775571,-0.778270282,-0.734115445,-0.057470469,82.60119928,1.150542143,5,140.3244284,267.7808476,0.75625,0,0.243055556,0.003472222,0.753472222,0,0,0,104.9099932,1497.954603,-0.825718576,-1.200912421,-0.004724851,85.4687338,1.067840406,6,129.9423501,34.23816392,0.701666667,0,0.298333333,0.002222222,0.699444444,0,0,0,99.69962405,1554.335169,-0.585961881,-1.617473496,-0.008987724,50.4124752,0.962903375,5,128.7124153,22.45508489,0.646527778,0,0.353472222,0.002777778,0.64375,0,0,0,119.7164234,2232.548058,-0.250132102,-1.115133081,0.091591382,78.58748667,1.172378644,3,139.3822906,1023.404836,0.786805556,0,0.213194444,0.18125,0.605555556,0,0,0,116.1487062,2384.711153,-0.138115017,-1.210846767,-0.022070887,74.23589645,1.190042419,3,138.85502,1064.474271,0.754166667,0,0.244444444,0.183333333,0.572222222,0,0,0,118.4458469,2223.553333,-0.321650371,-1.257429687,-0.025186567,66.35096694,1.17253725,3,137.8646107,1042.045243,0.788067122,0,0.211311374,0.176507147,0.612181479,0,0,0,1,1,1,1,1,1,1,1,0,111.8140032,1988.106025,-0.355639974,-1.085648133,-0.006693892,69.51231413,1.101047153,28,136.0022496,565.6666503,0.729198722,0,0.270327849,0.076932181,0.652739969,0,0,0,2018-05-28_to_2018-05-29,4177,4,Kitchen
8,186.2054054,101580.8869,7.761617023,59.67569069,0.012187282,6251.785068,5.071300017,0,188.163228,102735.6226,0.986111111,0,0.013888889,0.313194444,0.656944444,0.000694444,0,0.015277778,205.5667736,99587.74891,7.816444343,60.26717417,-0.000918855,6211.615636,4.751009102,0,207.7972915,100632.1781,0.986111111,0,0.013888889,0.161805556,0.809027778,0,0,0.015277778,131.513267,2127.714605,-0.417371879,-0.437052399,-0.030544745,126.5952161,1.292891903,2,144.7197403,1153.900123,0.866111111,0,0.133888889,0.162777778,0.702777778,0.000555556,0,0,134.2134678,59058.71992,9.895616876,101.689634,0.000708829,9873.249071,8.926925003,5,173.3475884,80709.6057,0.689583333,0,0.290972222,0.021527778,0.640277778,0.038194444,0.000694444,0.008333333,151.474244,5064.953643,1.313224161,3.71872569,-0.207783177,970.7578876,6.876460155,0,159.7600673,4547.244023,0.925694444,0,0.056944444,0.260416667,0.619444444,0.061111111,0.002083333,0,184.1393002,82481.29672,7.953728019,63.14032087,0.002362748,6136.146417,4.606208466,1,189.5369353,84917.93467,0.9625,0,0.0375,0.184722222,0.7625,0.000694444,0.000694444,0.013888889,146.5398088,2712.262629,1.478342253,5.829572714,-0.025224146,284.6882853,2.847055637,0,146.5398088,2712.262629,1,0,0,0.327359618,0.643369176,0.029271207,0,0,1,1,1,1,1,1,1,1,0,157.2819028,42933.26484,11.28012432,134.5707222,0.000199694,3906.937545,4.374894329,10,166.856134,45504.41072,0.920249002,0,0.076462297,0.227625088,0.672539347,0.016560958,0.000469814,0.006342495,2018-05-29_to_2018-05-30,4177,4,Kitchen
9,231.2605519,157097.0144,5.31022217,29.88728159,-0.05628909,35469.91106,29.16773189,0,231.2605519,157097.0144,1,0,0,0.324305556,0.581944444,0.046527778,0.00625,0.040972222,195.6029169,95482.14029,6.542605097,48.90722445,0.003544132,22797.37383,18.89386378,0,195.6029169,95482.14029,1,0,0,0.34375,0.620833333,0,0.005555556,0.029861111,144.9058111,1627.235241,-0.448419373,-1.719208103,0.030308501,65.05135925,1.198270086,0,144.9058111,1627.235241,1,0,0,0.377222222,0.622777778,0,0,0,140.0830227,1628.803995,-0.405056205,-1.785715173,-0.057470463,62.84660014,1.29221138,0,140.0830227,1628.803995,1,0,0,0.39375,0.60625,0,0,0,131.0587537,1823.117222,-0.402564859,-1.126191928,-0.031688672,63.18430599,1.120150227,0,131.0587537,1823.117222,1,0,0.072916667,0.289583333,0.6375,0,0,0,133.2958215,66317.01415,9.183925223,86.04376174,-0.003101117,11394.79325,7.941693308,1,144.6851835,70516.97911,0.919444444,0.080555556,0.121527778,0.1125,0.672222222,0.002083333,0,0.011111111,116.7372161,999.9336389,-1.815616276,1.429304636,-0.011564758,21.65561559,0.51221566,0,116.7372161,999.9336389,1,0,0.156712005,0.000591366,0.842696629,0,0,0,1,1,1,1,1,1,1,1,0,156.9221531,52008.42432,9.745062502,102.9806816,0.004238635,9207.511954,7.880867366,1,159.0398204,52395.55055,0.986402532,0.013597468,0.053569335,0.259641308,0.647989685,0.01301137,0.001406635,0.010784199,2018-05-30_to_2018-05-31,4177,4,Kitchen
